,Have CV,ID,Location,Date Invited,Date Started,Date Completed,Parts Completed,Overall Score,Chart Interpretation score,Chart Interpretation Self Rating,Business Acumen score,Business Acumen Self Rating,Reports & Visualisations score,Reports & Visualisations Self Rating,SQL score,SQL Self Rating,Data Literacy score,Data Literacy Self Rating
27,1.0,28058,India,2021-09-07 14:31:41,2021-09-07 21:39:58,2021-09-07 22:38:17,3,5.8,9.048,8.0,2.857,8.0,3.0,8.0,0.0,8.0,9.091,8.0
28,1.0,28572,Namibia,2021-09-13 13:40:04,2021-09-13 19:03:24,2021-09-13 20:01:46,3,5.8,9.048,8.0,2.857,6.0,3.0,7.0,0.0,6.0,9.091,8.0
29,1.0,28916,India,2021-09-14 16:23:40,2021-09-19 01:36:26,2021-09-19 02:20:56,3,5.8,5.714,8.0,0.0,8.0,7.0,7.0,3.125,9.0,9.091,8.0
30,1.0,27117,Portugal,2021-08-29 11:04:25,2021-08-31 19:41:55,2021-08-31 20:42:11,3,5.699999999999999,5.714,10.0,4.286,9.0,5.0,10.0,1.875,8.0,9.091,10.0
31,1.0,28029,Ireland,2021-09-07 14:31:24,2021-09-10 16:51:39,2021-09-10 17:49:36,3,5.699999999999999,6.1899999999999995,10.0,1.4289999999999998,10.0,9.0,10.0,0.0,8.0,9.091,10.0
32,1.0,28090,Brazil,2021-09-08 14:50:03,2021-09-13 00:48:50,2021-09-13 01:47:37,3,5.699999999999999,5.714,9.0,0.0,8.0,7.0,9.0,4.375,8.0,7.726999999999999,9.0
33,1.0,28588,Netherlands,2021-09-13 13:40:15,2021-09-15 03:12:40,2021-09-15 04:12:57,3,5.699999999999999,5.714,8.0,1.4289999999999998,8.0,3.0,7.0,3.125,10.0,10.0,9.0
34,1.0,28874,Philippines,2021-09-14 16:23:15,2021-09-17 17:19:50,2021-09-18 14:08:45,3,5.699999999999999,9.048,9.0,0.0,9.0,7.0,9.0,0.0,10.0,7.726999999999999,10.0
35,1.0,27010,United Arab Emirates,2021-08-29 11:02:38,2021-09-03 17:12:39,2021-09-03 18:02:10,3,5.6000000000000005,7.143000000000001,9.0,,,10.0,9.0,0.0,7.0,6.8180000000000005,9.0
36,1.0,28527,Italy,2021-09-11 15:26:25,2021-09-15 17:32:36,2021-09-16 01:15:51,3,5.6000000000000005,9.048,8.0,,,0.0,8.0,1.875,6.0,6.8180000000000005,9.0
37,1.0,28059,India,2021-09-07 14:31:41,2021-09-10 21:49:04,2021-09-10 22:46:27,3,5.5,7.143000000000001,7.0,7.143000000000001,7.0,6.0,8.0,2.5,9.0,5.455,7.0
38,,27172,India,2021-08-29 11:04:56,2021-09-01 00:54:05,2021-09-01 01:46:12,3,5.4,7.619,8.0,0.0,7.0,7.0,7.0,0.0,6.0,8.181999999999999,7.0
39,1.0,27596,Hungary,2021-09-02 20:35:04,2021-09-02 21:31:33,2021-09-02 22:24:27,3,5.4,7.143000000000001,9.0,0.0,7.0,7.0,9.0,0.0,5.0,8.636,7.0
40,1.0,28564,United Arab Emirates,2021-09-13 13:39:03,2021-09-17 20:20:55,2021-09-17 21:12:50,3,5.4,6.667,10.0,0.0,10.0,7.0,10.0,0.0,10.0,9.091,10.0
41,1.0,28901,Nigeria,2021-09-14 16:23:32,2021-09-16 03:19:27,2021-09-17 04:23:27,3,5.4,7.619,8.0,0.0,8.0,5.0,8.0,1.875,7.0,7.726999999999999,8.0
42,1.0,27363,United Kingdom,2021-08-30 20:24:43,2021-08-30 23:24:06,2021-08-31 00:15:46,3,5.300000000000001,7.143000000000001,8.0,0.0,8.0,5.0,7.0,0.0,6.0,9.091,7.0
43,1.0,28116,Ireland,2021-09-08 14:50:18,2021-09-11 02:20:09,2021-09-11 07:56:13,3,5.300000000000001,5.714,9.0,0.0,8.0,7.0,9.0,1.875,9.0,8.181999999999999,8.0
44,1.0,28247,Malaysia,2021-09-09 15:21:02,2021-09-14 13:42:20,2021-09-14 14:41:04,3,5.300000000000001,7.143000000000001,8.0,0.0,7.0,5.0,7.0,0.0,7.0,9.091,7.0
45,1.0,28717,United Kingdom,2021-09-13 13:41:26,2021-09-15 19:18:49,2021-09-15 20:12:29,3,5.300000000000001,9.048,9.0,0.0,8.0,7.0,9.0,0.0,2.0,6.364,8.0
46,1.0,28859,South Africa,2021-09-14 16:23:06,2021-09-19 07:04:14,2021-09-19 07:51:54,3,5.300000000000001,8.095,8.0,,,7.143000000000001,9.0,0.0,5.0,5.909000000000001,9.0
47,1.0,27809,France,2021-09-06 11:57:16,2021-09-11 18:35:48,2021-09-11 19:26:51,3,5.2,7.143000000000001,9.0,,,2.857,8.0,0.0,6.0,7.726999999999999,8.0
48,1.0,27803,Turkey,2021-09-06 11:57:13,2021-09-10 16:35:21,2021-09-10 17:34:24,3,5.1,9.048,10.0,0.0,9.0,7.0,10.0,0.0,10.0,5.909000000000001,10.0
49,1.0,28490,Turkey,2021-09-11 15:26:02,2021-09-15 20:21:18,2021-09-15 21:18:12,3,5.1,5.714,9.0,0.0,9.0,7.0,9.0,0.0,7.0,9.091,8.0
50,1.0,28595,Spain,2021-09-13 13:40:19,2021-09-13 18:21:04,2021-09-14 18:27:28,3,5.1,8.095,7.0,0.0,7.0,7.0,7.0,0.0,7.0,6.8180000000000005,7.0
51,1.0,27614,Turkey,2021-09-02 20:35:15,2021-09-07 05:24:23,2021-09-07 06:13:43,3,5.0,7.143000000000001,8.0,,,0.0,8.0,0.0,7.0,8.181999999999999,8.0
52,1.0,27618,United Kingdom,2021-09-02 20:35:18,2021-09-06 20:47:13,2021-09-06 21:22:59,3,5.0,6.1899999999999995,8.0,0.0,7.0,7.0,8.0,0.0,1.0,8.181999999999999,8.0
53,1.0,27838,India,2021-09-06 11:57:32,2021-09-10 17:11:30,2021-09-10 18:07:40,3,5.0,8.095,10.0,0.0,10.0,3.0,9.0,0.0,7.0,8.181999999999999,9.0
54,1.0,28516,India,2021-09-11 15:26:18,2021-09-24 03:31:59,2021-09-24 04:32:33,3,5.0,6.667,8.0,0.0,7.0,2.0,7.0,3.125,7.0,7.726999999999999,8.0
55,1.0,28519,Nigeria,2021-09-11 15:26:20,2021-09-15 23:46:44,2021-09-16 00:24:34,3,5.0,6.1899999999999995,10.0,0.0,9.0,5.0,10.0,0.0,7.0,9.091,10.0
56,1.0,28543,Egypt,2021-09-11 15:26:34,2021-09-20 07:22:54,2021-09-20 08:18:54,3,5.0,7.619,10.0,0.0,10.0,7.0,8.0,0.0,8.0,6.8180000000000005,8.0
57,1.0,28630,South Africa,2021-09-13 13:40:40,2021-09-15 17:32:43,2021-09-15 19:56:02,3,5.0,8.095,8.0,0.0,8.0,7.0,8.0,0.0,4.0,6.364,8.0
58,1.0,27621,Netherlands,2021-09-02 20:35:19,2021-09-07 04:37:53,2021-09-07 05:29:37,3,4.9,5.238,8.0,0.0,7.0,2.0,8.0,3.125,8.0,8.636,8.0
59,1.0,27624,India,2021-09-02 20:35:21,2021-09-04 05:00:30,2021-09-04 06:00:49,3,4.9,5.714,9.0,0.0,8.0,7.0,9.0,1.875,9.0,6.8180000000000005,9.0
60,1.0,28005,Hungary,2021-09-07 14:31:11,2021-09-09 22:23:20,2021-09-09 23:19:55,3,4.9,7.143000000000001,8.0,0.0,8.0,7.0,9.0,0.0,5.0,6.8180000000000005,7.0
61,1.0,28018,Ireland,2021-09-07 14:31:18,2021-09-07 20:52:57,2021-09-07 21:56:38,3,4.9,6.667,8.0,0.0,7.0,7.0,9.0,0.0,7.0,7.273000000000001,7.0
62,1.0,28117,Pakistan,2021-09-08 14:50:19,2021-09-11 21:29:31,2021-09-11 22:29:03,3,4.9,5.714,10.0,0.0,9.0,5.0,9.0,0.0,8.0,9.091,9.0
63,1.0,28463,India,2021-09-11 15:25:08,2021-09-13 22:07:41,2021-09-13 23:11:02,3,4.9,6.667,7.0,0.0,7.0,7.0,7.0,0.0,8.0,7.273000000000001,8.0
64,1.0,28020,Ireland,2021-09-07 14:31:19,2021-09-07 21:43:01,2021-09-07 23:39:02,3,4.8,6.1899999999999995,10.0,,,10.0,10.0,0.0,7.0,5.455,9.0
65,1.0,28568,Nigeria,2021-09-13 13:40:01,2021-09-14 06:24:10,2021-09-15 05:52:52,3,4.8,5.238,9.0,,,2.857,8.0,0.0,8.0,8.636,8.0
66,1.0,28659,South Africa,2021-09-13 13:40:56,2021-09-13 15:20:54,2021-09-13 16:16:01,3,4.8,7.143000000000001,10.0,,,5.714,10.0,0.0,9.0,5.909000000000001,9.0
67,1.0,26924,Chile,2021-08-29 10:40:02,2021-08-30 11:35:45,2021-08-30 12:35:58,3,4.699999999999999,7.619,10.0,0.0,5.0,5.0,7.0,0.0,8.0,6.8180000000000005,9.0
68,1.0,26937,Brazil,2021-08-29 10:40:09,2021-08-29 12:08:01,2021-08-29 13:05:07,3,4.699999999999999,5.238,10.0,0.0,9.0,7.0,9.0,0.0,8.0,8.181999999999999,8.0
69,1.0,27828,Albania,2021-09-06 11:57:27,2021-09-12 02:12:43,2021-09-12 02:59:29,3,4.699999999999999,7.143000000000001,9.0,0.0,9.0,5.0,10.0,0.0,8.0,7.273000000000001,10.0
70,1.0,28250,India,2021-09-09 15:21:04,2021-09-14 03:27:48,2021-09-14 04:38:42,3,4.699999999999999,7.619,8.0,0.0,8.0,5.0,8.0,0.0,7.0,6.8180000000000005,8.0
71,1.0,28602,India,2021-09-13 13:40:23,2021-09-17 18:06:39,2021-09-17 19:38:56,3,4.699999999999999,4.762,8.0,0.0,5.0,4.0,8.0,3.125,9.0,7.726999999999999,8.0
72,1.0,28716,United Kingdom,2021-09-13 13:41:26,2021-09-18 08:24:17,2021-09-18 09:24:42,3,4.699999999999999,5.714,7.0,0.0,5.0,4.0,8.0,0.0,7.0,9.091,8.0
73,1.0,28891,Spain,2021-09-14 16:23:25,2021-09-17 00:42:38,2021-09-19 05:05:59,3,4.699999999999999,8.095,9.0,0.0,9.0,4.0,9.0,0.0,8.0,6.8180000000000005,8.0
74,1.0,27200,South Africa,2021-08-29 11:05:11,2021-08-31 05:29:26,2021-08-31 06:29:24,3,4.6000000000000005,7.143000000000001,10.0,0.0,10.0,5.0,9.0,0.0,9.0,6.8180000000000005,10.0
75,1.0,27211,Lebanon,2021-08-29 11:05:16,2021-08-29 17:17:01,2021-08-29 17:41:48,3,4.6000000000000005,6.1899999999999995,8.0,0.0,8.0,7.0,8.0,0.0,2.0,6.8180000000000005,6.0
76,1.0,27460,Singapore,2021-08-30 20:25:44,2021-09-04 18:55:01,2021-09-04 19:53:15,3,4.6000000000000005,6.1899999999999995,10.0,0.0,8.0,5.0,9.0,0.0,9.0,7.726999999999999,9.0
77,1.0,27593,United Kingdom,2021-09-02 20:35:01,2021-09-06 05:39:28,2021-09-06 06:32:21,3,4.6000000000000005,6.1899999999999995,10.0,0.0,8.0,4.0,9.0,0.0,7.0,8.181999999999999,8.0
78,1.0,27844,Portugal,2021-09-06 11:57:36,2021-09-09 08:15:20,2021-09-09 09:07:56,3,4.6000000000000005,8.095,10.0,0.0,7.0,5.0,10.0,0.0,5.0,5.909000000000001,10.0
79,1.0,27850,United Kingdom,2021-09-06 11:57:39,2021-09-06 18:02:52,2021-09-09 01:26:04,3,4.6000000000000005,6.1899999999999995,10.0,0.0,10.0,7.0,8.0,0.0,6.0,6.8180000000000005,6.0
80,1.0,27997,Argentina,2021-09-07 14:31:06,2021-09-09 23:49:13,2021-09-10 00:42:42,3,4.6000000000000005,6.1899999999999995,9.0,0.0,8.0,7.0,9.0,0.0,7.0,6.8180000000000005,9.0
81,1.0,28734,India,2021-09-13 13:41:35,2021-09-17 20:57:54,2021-09-17 21:57:42,3,4.6000000000000005,5.714,9.0,0.0,8.0,5.0,8.0,0.0,9.0,8.181999999999999,8.0
82,1.0,28971,France,2021-09-15 11:32:27,2021-09-19 11:19:24,2021-09-19 12:19:31,3,4.6000000000000005,4.762,8.0,0.0,9.0,5.0,8.0,0.0,7.0,9.091,8.0
83,,26954,United Arab Emirates,2021-08-29 11:02:06,2021-09-02 03:52:38,2021-09-02 04:31:26,3,4.5,4.762,8.0,0.0,9.0,7.0,8.0,0.0,1.0,7.726999999999999,8.0
84,1.0,27302,Australia,2021-08-30 20:24:02,2021-08-30 21:04:42,2021-08-30 21:49:48,3,4.5,6.1899999999999995,8.0,,,7.143000000000001,8.0,0.0,5.0,5.455,8.0
85,1.0,27311,Israel,2021-08-30 20:24:07,2021-09-03 19:38:02,2021-09-03 20:39:22,3,4.5,3.3329999999999997,9.0,0.0,8.0,4.0,10.0,3.125,9.0,8.181999999999999,8.0
86,1.0,27331,France,2021-08-30 20:24:20,2021-09-04 05:23:53,2021-09-04 06:24:25,3,4.5,7.619,7.0,0.0,7.0,5.0,7.0,0.0,7.0,5.909000000000001,7.0
87,1.0,27430,Lebanon,2021-08-30 20:25:26,2021-09-01 21:00:36,2021-09-01 21:52:31,3,4.5,7.619,9.0,0.0,10.0,5.0,9.0,0.0,9.0,5.909000000000001,9.0
88,1.0,28039,Italy,2021-09-07 14:31:30,2021-09-11 19:00:23,2021-09-11 20:03:44,3,4.5,6.667,9.0,0.0,6.0,3.0,7.0,3.125,8.0,5.455,7.0
89,1.0,28259,Poland,2021-09-09 15:21:09,2021-09-13 18:23:22,2021-09-14 00:31:58,3,4.5,7.619,9.0,0.0,8.0,3.0,9.0,0.0,2.0,6.8180000000000005,9.0
90,1.0,28517,France,2021-09-11 15:26:19,2021-09-15 08:41:35,2021-09-15 09:40:38,3,4.5,7.143000000000001,8.0,0.0,5.0,5.0,8.0,0.0,7.0,6.364,8.0
91,1.0,28592,Netherlands,2021-09-13 13:40:17,2021-09-13 16:06:23,2021-09-13 16:55:31,3,4.5,2.381,8.0,,,7.143000000000001,9.0,0.0,6.0,9.091,9.0
92,1.0,28677,Romania,2021-09-13 13:41:06,2021-09-17 16:25:09,2021-09-17 17:00:27,3,4.5,4.762,10.0,0.0,8.0,7.0,9.0,5.0,7.0,4.090999999999999,8.0
93,1.0,28696,Spain,2021-09-13 13:41:16,2021-09-18 08:48:24,2021-09-18 09:56:53,3,4.5,5.714,9.0,0.0,9.0,0.0,9.0,0.0,6.0,10.0,9.0
94,1.0,28697,United Kingdom,2021-09-13 13:41:16,2021-09-22 06:55:44,2021-09-22 08:53:26,3,4.5,9.048,10.0,0.0,8.0,0.0,10.0,0.0,6.0,6.8180000000000005,8.0
95,1.0,28705,China,2021-09-13 13:41:20,2021-09-15 19:00:31,2021-09-16 14:11:33,3,4.5,5.238,8.0,0.0,9.0,5.0,8.0,0.0,9.0,8.181999999999999,9.0
96,1.0,28872,South Africa,2021-09-14 16:23:14,2021-09-18 18:06:30,2021-09-18 19:07:07,3,4.5,5.714,8.0,0.0,8.0,2.0,8.0,0.0,6.0,9.091,9.0
97,1.0,28896,Italy,2021-09-14 16:23:29,2021-09-14 20:57:34,2021-09-14 22:20:29,3,4.5,6.1899999999999995,9.0,0.0,8.0,4.0,9.0,0.0,8.0,7.726999999999999,8.0
98,1.0,28915,India,2021-09-14 16:23:40,2021-09-19 21:01:56,2021-09-19 21:52:15,3,4.5,4.762,9.0,0.0,8.0,5.0,9.0,6.875,9.0,3.636,9.0
99,1.0,27404,India,2021-08-30 20:25:10,2021-09-01 01:39:44,2021-09-01 02:21:24,3,4.4,5.714,8.0,,,7.143000000000001,8.0,0.0,7.0,5.455,8.0
100,1.0,27415,Portugal,2021-08-30 20:25:17,2021-08-31 06:38:04,2021-08-31 23:29:18,3,4.4,6.1899999999999995,8.0,,,5.714,8.0,0.0,7.0,5.455,8.0
101,1.0,28123,Croatia,2021-09-08 14:50:23,2021-09-08 21:05:31,2021-09-08 21:26:34,3,4.4,4.286,9.0,,,0.0,10.0,,,5.909000000000001,6.0
102,1.0,28966,Zimbabwe,2021-09-15 11:32:24,2021-09-19 20:14:47,2021-09-19 20:44:47,3,4.4,2.381,10.0,,,10.0,10.0,,,4.545,10.0
103,1.0,26928,France,2021-08-29 10:40:04,2021-09-03 18:29:23,2021-09-03 19:32:14,3,4.3,6.1899999999999995,7.0,0.0,8.0,5.0,6.0,0.0,6.0,6.8180000000000005,5.0
104,1.0,28657,South Africa,2021-09-13 13:40:55,2021-09-14 01:53:14,2021-09-14 02:50:17,3,4.3,7.143000000000001,9.0,0.0,9.0,5.0,9.0,0.0,7.0,5.909000000000001,8.0
105,1.0,27018,United Kingdom,2021-08-29 11:02:42,2021-08-29 18:50:56,2021-08-29 19:36:24,3,4.2,5.714,9.0,0.0,8.0,2.0,8.0,0.0,7.0,8.181999999999999,7.0
106,1.0,27389,United Arab Emirates,2021-08-30 20:25:00,2021-08-30 20:33:14,2021-08-30 21:20:20,3,4.2,5.714,9.0,0.0,10.0,3.0,8.0,0.0,1.0,7.726999999999999,9.0
107,1.0,27458,India,2021-08-30 20:25:42,2021-09-04 09:40:49,2021-09-04 17:28:13,3,4.2,6.1899999999999995,8.0,0.0,8.0,2.0,8.0,0.0,8.0,7.726999999999999,8.0
108,1.0,28052,Portugal,2021-09-07 14:31:37,2021-09-08 19:35:21,2021-09-08 20:20:58,3,4.2,7.143000000000001,9.0,0.0,8.0,5.0,8.0,0.0,2.0,5.455,8.0
109,1.0,28100,Austria,2021-09-08 14:50:09,2021-09-09 19:02:17,2021-09-09 19:52:24,3,4.2,7.143000000000001,9.0,,,0.0,8.0,0.0,9.0,5.909000000000001,8.0
110,1.0,28472,Italy,2021-09-11 15:25:14,2021-09-15 23:53:08,2021-09-16 02:06:29,3,4.2,5.714,7.0,0.0,7.0,5.0,7.0,0.0,6.0,6.8180000000000005,7.0
111,1.0,28477,Italy,2021-09-11 15:25:18,2021-09-15 20:13:08,2021-09-15 21:13:45,3,4.2,5.714,8.0,0.0,8.0,4.0,8.0,0.0,1.0,7.273000000000001,6.0
112,1.0,28495,Pakistan,2021-09-11 15:26:05,2021-09-14 20:11:57,2021-09-14 21:03:08,3,4.2,5.714,9.0,0.0,9.0,2.0,9.0,0.0,6.0,8.181999999999999,9.0
113,1.0,28513,Bulgaria,2021-09-11 15:26:16,2021-09-13 16:38:29,2021-09-13 19:49:27,3,4.2,6.1899999999999995,8.0,0.0,8.0,4.0,7.0,0.0,6.0,6.8180000000000005,7.0
114,1.0,28578,Mozambique,2021-09-13 13:40:09,2021-09-13 22:35:16,2021-09-13 23:34:49,3,4.2,6.667,10.0,0.0,8.0,0.0,10.0,0.0,8.0,8.181999999999999,9.0
115,1.0,28648,South Korea,2021-09-13 13:40:50,2021-09-18 09:28:48,2021-09-18 10:26:56,3,4.2,6.1899999999999995,10.0,0.0,8.0,4.0,10.0,0.0,8.0,6.8180000000000005,10.0
116,1.0,28672,India,2021-09-13 13:41:04,2021-09-13 23:48:06,2021-09-14 00:45:22,3,4.2,6.1899999999999995,9.0,0.0,8.0,4.0,8.0,1.875,8.0,5.455,9.0
117,1.0,28708,South Africa,2021-09-13 13:41:22,2021-09-14 18:08:58,2021-09-14 19:10:58,3,4.2,6.1899999999999995,9.0,0.0,7.0,2.0,10.0,0.0,3.0,7.726999999999999,9.0
118,1.0,28889,Spain,2021-09-14 16:23:24,2021-09-14 20:20:10,2021-09-14 21:14:35,3,4.2,5.714,8.0,0.0,8.0,5.0,8.0,0.0,4.0,6.8180000000000005,4.0
119,1.0,26964,Israel,2021-08-29 11:02:12,2021-09-01 04:05:42,2021-09-01 05:05:18,3,4.1,6.667,9.0,0.0,9.0,2.0,8.0,0.0,7.0,6.8180000000000005,9.0
120,1.0,27081,Indonesia,2021-08-29 11:04:05,2021-08-30 01:01:38,2021-08-30 02:28:42,3,4.1,7.143000000000001,8.0,0.0,7.0,4.0,7.0,0.0,2.0,5.455,8.0
121,1.0,27219,Argentina,2021-08-29 11:05:20,2021-09-02 11:41:13,2021-09-03 15:32:39,3,4.1,5.714,9.0,0.0,8.0,3.0,9.0,0.0,9.0,7.273000000000001,9.0
122,1.0,27305,India,2021-08-30 20:24:04,2021-09-02 01:25:46,2021-09-02 02:23:45,3,4.1,4.286,8.0,0.0,8.0,7.0,7.0,0.0,8.0,6.8180000000000005,8.0
123,1.0,27333,Spain,2021-08-30 20:24:22,2021-08-31 01:32:27,2021-08-31 02:22:36,3,4.1,3.3329999999999997,9.0,,,5.714,9.0,0.0,6.0,7.273000000000001,7.0
124,1.0,27437,United Arab Emirates,2021-08-30 20:25:30,2021-09-02 05:33:53,2021-09-02 06:33:06,3,4.1,5.714,10.0,0.0,9.0,5.0,10.0,0.0,6.0,6.364,9.0
125,1.0,27817,Georgia,2021-09-06 11:57:20,2021-09-07 03:43:47,2021-09-07 16:43:19,3,4.1,5.238,9.0,0.0,7.0,3.0,7.0,0.0,9.0,7.726999999999999,5.0
126,1.0,28019,Spain,2021-09-07 14:31:19,2021-09-11 04:52:09,2021-09-11 06:21:56,3,4.1,8.095,9.0,0.0,7.0,2.0,9.0,0.0,6.0,5.455,9.0
127,1.0,28041,Ireland,2021-09-07 14:31:31,2021-09-09 18:25:06,2021-09-09 19:16:30,3,4.1,5.714,8.0,0.0,8.0,5.0,8.0,0.0,6.0,6.364,7.0
128,1.0,28591,Switzerland,2021-09-13 13:40:17,2021-09-16 01:30:51,2021-09-16 02:30:57,3,4.1,4.762,10.0,0.0,9.0,2.0,10.0,3.125,9.0,6.364,10.0
129,1.0,28685,Pakistan,2021-09-13 13:41:10,2021-09-26 15:45:10,2021-09-26 16:28:04,3,4.1,4.762,10.0,0.0,9.0,4.0,9.0,0.0,7.0,7.726999999999999,8.0
130,1.0,27226,United Arab Emirates,2021-08-29 11:05:23,2021-08-31 03:03:50,2021-08-31 03:41:31,3,3.9000000000000004,5.714,9.0,0.0,9.0,3.0,9.0,0.0,1.0,6.8180000000000005,9.0
131,1.0,27991,Ireland,2021-09-07 14:31:02,2021-09-11 03:47:48,2021-09-11 04:34:23,3,3.9000000000000004,5.238,8.0,,,7.143000000000001,8.0,0.0,9.0,4.545,8.0
